Date,Sent Amount,Sent Currency,Received Amount,Received Currency,Fee Amount,Fee Currency,Net Worth Amount,Net Worth Currency,Label,Description,TxHash
2025-01-07T00:25:50.000Z,,,,,0.000012,XRP,154.27195782095,USD,,SWAP Transaction initiated via XPmarket.com,299FFDEDCD56F915EBF87C9205E1B9B545690BD82561FD399B90BB8BD627FADC
2025-01-07T00:25:11.000Z,-100,ID:14799,,,0,XRP,-31.46587086721287352860960138584117314,USD,,SWAP Transaction initiated via XPmarket.com,A00C594D84E8F98666B7EC2FD9435CB070B9A13146FC1293BCF5B7CBC77B9AFF
2025-01-07T00:25:11.000Z,,,,,0.000012,XRP,38.6228156733,USD,,SWAP Transaction initiated via XPmarket.com,A00C594D84E8F98666B7EC2FD9435CB070B9A13146FC1293BCF5B7CBC77B9AFF
2025-01-07T00:23:21.000Z,,,,,0.000012,XRP,302.3172015171,USD,,SWAP Transaction initiated via XPmarket.com,16DFDD449B738FEAC98117C1DE7B3A31EE85D215CF2856C04E68DE578CBE8ED2
2025-01-07T00:23:21.000Z,-1500000,ID:1174,,,0,XRP,-284.688820034147493341182251525,USD,,SWAP Transaction initiated via XPmarket.com,16DFDD449B738FEAC98117C1DE7B3A31EE85D215CF2856C04E68DE578CBE8ED2
2025-01-07T00:22:22.000Z,,,,,0.000012,XRP,202.13766845485,USD,,SWAP Transaction initiated via XPmarket.com,DEEC2E924FB4FA6748B3C2D3E098113B85B90B5278AFC119093D9CA81E92ACFF
2025-01-07T00:22:22.000Z,-999999.99999999,ID:1174,,,0,XRP,-190.291269989072941567931350071723555,USD,,SWAP Transaction initiated via XPmarket.com,DEEC2E924FB4FA6748B3C2D3E098113B85B90B5278AFC119093D9CA81E92ACFF
2025-01-07T00:18:00.000Z,-0.000012,XRP,,,0.000012,XRP,-0.0000290454,USD,,,34DFD92B09DE113F2B53C8F284BEB8ACE611E9ABB8E303BD55EECF4EE9510036
2025-01-07T00:18:00.000Z,-7173.104771,ID:18716218,,,0,XRP,-593.941286025947332421788275457763,USD,,,34DFD92B09DE113F2B53C8F284BEB8ACE611E9ABB8E303BD55EECF4EE9510036
2025-01-07T00:16:41.000Z,-0.000012,XRP,,,0.000012,XRP,-0.0000290454,USD,,,003AAB9EC1BA1806921E1AFF227D1D8E39FE0E47FF6052B3B591109443241FA9
2025-01-07T00:16:41.000Z,-20000,ID:18716218,,,0,XRP,-1652.281446918005352233353166271296,USD,,,003AAB9EC1BA1806921E1AFF227D1D8E39FE0E47FF6052B3B591109443241FA9
2025-01-07T00:14:00.000Z,-0.000012,XRP,,,0.000012,XRP,-0.0000290454,USD,,,1CC8088DE08402CFFBC59662161108C59FE389EC99FC70DD47985299AB6FB00F
2025-01-07T00:13:20.000Z,-0.000012,XRP,,,0.000012,XRP,-0.0000290454,USD,,,4D84A6709C0970183A1660C47016636E1DDD4A0E19199F0B89C6D66984C7D0F4
2025-01-07T00:12:41.000Z,-0.000012,XRP,,,0.000012,XRP,-0.0000290454,USD,,,064F34C3B5560F02386C19EDA67CF535793348C5742C6728D32449CEFBB4C47D
2025-01-07T00:12:11.000Z,-0.000012,XRP,,,0.000012,XRP,-0.0000290454,USD,,,03BFC09B69CEAA59C23F0A29AB48AD40C728B8E03DE2B904C7401095BD2EEC16
2025-01-07T00:11:40.000Z,-0.000012,XRP,,,0.000012,XRP,-0.0000290454,USD,,,90EBB99392C8EB773701E0894AA4D010DA8912E64521A5602D86ECA800CE320E
2025-01-07T00:04:22.000Z,-71189118.258365,ID:23042253,,,0,XRP,-17.3250512257494553470805,USD,,AMM withdraw initiated via XPmarket.com,EFAA2A7BB44EC51A0F6E27E18904E94228398F0C6C5D6BAB430672A4073E4B0F
2025-01-07T00:04:22.000Z,,,,,0.000012,XRP,1928.4561125021,USD,,AMM withdraw initiated via XPmarket.com,EFAA2A7BB44EC51A0F6E27E18904E94228398F0C6C5D6BAB430672A4073E4B0F
2025-01-07T00:04:22.000Z,,,,,0,XRP,1784.379855711372344165671286821335372,USD,,AMM withdraw initiated via XPmarket.com,EFAA2A7BB44EC51A0F6E27E18904E94228398F0C6C5D6BAB430672A4073E4B0F
2025-01-07T00:03:01.000Z,-3588965.21599961,ID:9427122,,,0,XRP,-694.95286856530048196,USD,,AMM withdraw initiated via XPmarket.com,2E162BC50DC6C2917CC1FF4F252664FF3A9336A6DFAD4AB25152C0B160418573
2025-01-07T00:03:01.000Z,,,,,0,XRP,2563.470262166911661014184802162943698359,USD,,AMM withdraw initiated via XPmarket.com,2E162BC50DC6C2917CC1FF4F252664FF3A9336A6DFAD4AB25152C0B160418573
2025-01-07T00:03:01.000Z,,,,,0.000012,XRP,4113.2380155494,USD,,AMM withdraw initiated via XPmarket.com,2E162BC50DC6C2917CC1FF4F252664FF3A9336A6DFAD4AB25152C0B160418573
2025-01-07T00:01:51.000Z,-4906117.363301665,ID:24328832,,,0,XRP,-358.0921674859428404112855148945485225,USD,,AMM withdraw initiated via XPmarket.com,002A33BA3D7DEBC780289585CA79124A1D4A8C9D906CEF2D0E74F300C5C300BE
2025-01-07T00:01:51.000Z,,,,,0.000012,XRP,2965.3391964138,USD,,AMM withdraw initiated via XPmarket.com,002A33BA3D7DEBC780289585CA79124A1D4A8C9D906CEF2D0E74F300C5C300BE
2025-01-07T00:01:51.000Z,,,,,0,XRP,2834.58479198061923057776990662404187072,USD,,AMM withdraw initiated via XPmarket.com,002A33BA3D7DEBC780289585CA79124A1D4A8C9D906CEF2D0E74F300C5C300BE
2025-01-02T16:45:31.000Z,,,0.000001,XRP,0,XRP,0.00000241718,USD,,,5B57E0022D99B8967ED0D68B49720FB7025AA7A177FA1BA6F78CF002CED464DF
2025-01-02T16:45:01.000Z,-2500.000012,XRP,,,0.000012,XRP,-6042.95002900616,USD,,,81B02FD103CD6C346BEFEF3D8EE4F0AF984EBD74E1F67AB9C7287D1CD82CA600
